country,year,sex,age,suicides_no,population
Bahamas,1996,female,5-14 years,0,28250
Bahamas,1996,female,55-74 years,0,13723
Bahamas,1996,female,75+ years,0,2927
Bahamas,1996,male,15-24 years,0,26103
Bahamas,1996,male,25-34 years,0,25040
Bahamas,1996,male,35-54 years,3,30549
Bahamas,1996,male,5-14 years,0,28956
Bahamas,1996,male,55-74 years,0,11476
Bahamas,1996,male,75+ years,0,1748
Bahamas,1997,female,15-24 years,0,25605
Bahamas,1997,female,25-34 years,0,25276
Bahamas,1997,female,35-54 years,0,34332
Bahamas,1997,female,5-14 years,0,28389
Bahamas,1997,female,55-74 years,0,14127
Bahamas,1997,female,75+ years,0,3054
Bahamas,1997,male,15-24 years,0,25815
Bahamas,1997,male,25-34 years,1,24917
Bahamas,1997,male,35-54 years,1,31867
Bahamas,1997,male,5-14 years,0,28929
Bahamas,1997,male,55-74 years,0,11798
Bahamas,1997,male,75+ years,0,1847
Bahamas,1998,female,15-24 years,0,25583
Bahamas,1998,female,25-34 years,0,25347
Bahamas,1998,female,35-54 years,0,36034
Bahamas,1998,female,5-14 years,0,28660
Bahamas,1998,female,55-74 years,0,14541
Bahamas,1998,female,75+ years,0,3187
Bahamas,1998,male,15-24 years,0,25619
Bahamas,1998,male,25-34 years,2,24751
Bahamas,1998,male,35-54 years,1,33276
Bahamas,1998,male,5-14 years,0,29048
Bahamas,1998,male,55-74 years,0,12140
Bahamas,1998,male,75+ years,0,1939
Bahamas,1999,female,15-24 years,0,25625
Bahamas,1999,female,25-34 years,1,25368
Bahamas,1999,female,35-54 years,0,37759
Bahamas,1999,female,5-14 years,0,29048
Bahamas,1999,female,55-74 years,0,14983
Bahamas,1999,female,75+ years,0,3335
Bahamas,1999,male,15-24 years,1,25536
Bahamas,1999,male,25-34 years,3,24557
Bahamas,1999,male,35-54 years,1,34691
Bahamas,1999,male,5-14 years,0,29327
Bahamas,1999,male,55-74 years,0,12526
Bahamas,1999,male,75+ years,0,2036
Bahamas,2000,female,15-24 years,1,25774
Bahamas,2000,female,25-34 years,0,25314
Bahamas,2000,female,35-54 years,0,39420
Bahamas,2000,female,5-14 years,0,29453
Bahamas,2000,female,55-74 years,1,15459
Bahamas,2000,female,75+ years,0,3494
Bahamas,2000,male,15-24 years,0,25606
Bahamas,2000,male,25-34 years,4,24338
Bahamas,2000,male,35-54 years,5,36060
Bahamas,2000,male,5-14 years,0,29702
Bahamas,2000,male,55-74 years,0,12981
Bahamas,2000,male,75+ years,0,2137
Bahamas,2001,female,15-24 years,0,26565
Bahamas,2001,female,25-34 years,0,25447
Bahamas,2001,female,35-54 years,0,40803
Bahamas,2001,female,5-14 years,0,29545
Bahamas,2001,female,55-74 years,0,16236
Bahamas,2001,female,75+ years,0,3680
Bahamas,2001,male,15-24 years,0,26361
Bahamas,2001,male,25-34 years,0,24515
Bahamas,2001,male,35-54 years,1,37335
Bahamas,2001,male,5-14 years,0,29815
Bahamas,2001,male,55-74 years,0,13606
Bahamas,2001,male,75+ years,0,2232
Bahamas,2002,female,15-24 years,0,27307
Bahamas,2002,female,25-34 years,0,25644
Bahamas,2002,female,35-54 years,0,42134
Bahamas,2002,female,5-14 years,0,29453
Bahamas,2002,female,55-74 years,0,17111
Bahamas,2002,female,75+ years,0,3880
Bahamas,2002,male,15-24 years,2,27106
Bahamas,2002,male,25-34 years,0,24798
Bahamas,2002,male,35-54 years,1,38667
Bahamas,2002,male,5-14 years,0,29792
Bahamas,2002,male,55-74 years,0,14336
Bahamas,2002,male,75+ years,0,2327
Bahamas,2003,female,15-24 years,0,27919
Bahamas,2003,female,25-34 years,0,25941
Bahamas,2003,female,35-54 years,0,43511
Bahamas,2003,female,5-14 years,0,29130
Bahamas,2003,female,55-74 years,0,18079
Bahamas,2003,female,75+ years,0,4092
Bahamas,2003,male,15-24 years,0,27766
Bahamas,2003,male,25-34 years,0,25200
Bahamas,2003,male,35-54 years,1,40113
Bahamas,2003,male,5-14 years,0,29553
Bahamas,2003,male,55-74 years,0,15166
Bahamas,2003,male,75+ years,0,2418
Bahamas,2004,female,15-24 years,0,28385
Bahamas,2004,female,25-34 years,0,26367
Bahamas,2004,female,35-54 years,0,44948
Bahamas,2004,female,5-14 years,0,28634
Bahamas,2004,female,55-74 years,0,19143
Bahamas,2004,female,75+ years,0,4327
Bahamas,2004,male,15-24 years,1,28309
Bahamas,2004,male,25-34 years,0,25733
Bahamas,2004,male,35-54 years,1,41662
Bahamas,2004,male,5-14 years,0,29136
Bahamas,2004,male,55-74 years,0,16082
Bahamas,2004,male,75+ years,0,2511
Bahamas,2005,female,15-24 years,0,28757
Bahamas,2005,female,25-34 years,1,26917
Bahamas,2005,female,35-54 years,0,46362
Bahamas,2005,female,5-14 years,0,28118
Bahamas,2005,female,55-74 years,0,20307
Bahamas,2005,female,75+ years,0,4589
Bahamas,2005,male,15-24 years,0,28762
Bahamas,2005,male,25-34 years,1,26366
Bahamas,2005,male,35-54 years,1,43193
Bahamas,2005,male,5-14 years,1,28690
Bahamas,2005,male,55-74 years,0,17085
Bahamas,2005,male,75+ years,0,2617
Bahamas,2006,female,15-24 years,0,29420
Bahamas,2006,female,25-34 years,0,27172
Bahamas,2006,female,35-54 years,0,47679
Bahamas,2006,female,5-14 years,0,28256
Bahamas,2006,female,55-74 years,0,21081
Bahamas,2006,female,75+ years,0,4817
Bahamas,2006,male,15-24 years,1,29472
Bahamas,2006,male,25-34 years,0,26713
Bahamas,2006,male,35-54 years,1,44490
Bahamas,2006,male,5-14 years,0,28912
Bahamas,2006,male,55-74 years,0,17743
Bahamas,2006,male,75+ years,0,2744
Bahamas,2007,female,15-24 years,0,30101
Bahamas,2007,female,25-34 years,0,27419
Bahamas,2007,female,35-54 years,1,48976
Bahamas,2007,female,5-14 years,0,28225
Bahamas,2007,female,55-74 years,0,21936
Bahamas,2007,female,75+ years,0,5046
Bahamas,2007,male,15-24 years,1,30182
Bahamas,2007,male,25-34 years,1,27047
Bahamas,2007,male,35-54 years,2,45790
Bahamas,2007,male,5-14 years,0,28953
Bahamas,2007,male,55-74 years,0,18460
Bahamas,2007,male,75+ years,0,2854
Bahamas,2008,female,15-24 years,0,30739
Bahamas,2008,female,25-34 years,0,27705
Bahamas,2008,female,35-54 years,0,50385
Bahamas,2008,female,5-14 years,0,27972
Bahamas,2008,female,55-74 years,0,22905
Bahamas,2008,female,75+ years,0,5272
Bahamas,2008,male,15-24 years,1,30842
Bahamas,2008,male,25-34 years,1,27416
Bahamas,2008,male,35-54 years,1,47227
Bahamas,2008,male,5-14 years,1,28759
Bahamas,2008,male,55-74 years,0,19279
Bahamas,2008,male,75+ years,0,2946
Bahamas,2009,female,15-24 years,0,31298
Bahamas,2009,female,25-34 years,0,28059
Bahamas,2009,female,35-54 years,1,51877
Bahamas,2009,female,5-14 years,0,27474
Bahamas,2009,female,55-74 years,0,23987
Bahamas,2009,female,75+ years,0,5515
Bahamas,2009,male,15-24 years,2,31432
Bahamas,2009,male,25-34 years,1,27862
Bahamas,2009,male,35-54 years,2,48784
Bahamas,2009,male,5-14 years,0,28311
Bahamas,2009,male,55-74 years,0,20196
Bahamas,2009,male,75+ years,0,3018
Bahamas,2010,female,15-24 years,2,31792
Bahamas,2010,female,25-34 years,0,28521
Bahamas,2010,female,35-54 years,1,53312
Bahamas,2010,female,5-14 years,0,26732
Bahamas,2010,female,55-74 years,1,25150
Bahamas,2010,female,75+ years,0,5772
Bahamas,2010,male,15-24 years,1,31968
Bahamas,2010,male,25-34 years,0,28398
Bahamas,2010,male,35-54 years,3,50326
Bahamas,2010,male,5-14 years,0,27620
Bahamas,2010,male,55-74 years,1,21188
Bahamas,2010,male,75+ years,1,3090
Bahamas,2011,female,15-24 years,0,32120
Bahamas,2011,female,25-34 years,1,29138
Bahamas,2011,female,35-54 years,0,53821
Bahamas,2011,female,5-14 years,0,26108
Bahamas,2011,female,55-74 years,0,26262
Bahamas,2011,female,75+ years,0,6106
Bahamas,2011,male,15-24 years,1,32343
Bahamas,2011,male,25-34 years,0,28997
Bahamas,2011,male,35-54 years,1,50932
Bahamas,2011,male,5-14 years,0,27054
Bahamas,2011,male,55-74 years,1,22178
Bahamas,2011,male,75+ years,0,3324
Bahamas,2012,female,15-24 years,0,32430
Bahamas,2012,female,25-34 years,0,29909
Bahamas,2012,female,35-54 years,1,54245
Bahamas,2012,female,5-14 years,0,25670
Bahamas,2012,female,55-74 years,0,27444
Bahamas,2012,female,75+ years,0,6463
Bahamas,2012,male,15-24 years,2,32716
Bahamas,2012,male,25-34 years,0,29740
Bahamas,2012,male,35-54 years,2,51466
Bahamas,2012,male,5-14 years,0,26675
Bahamas,2012,male,55-74 years,0,23216
Bahamas,2012,male,75+ years,0,3584
Bahamas,2013,female,15-24 years,0,32613
Bahamas,2013,female,25-34 years,0,30751
Bahamas,2013,female,35-54 years,1,54567
Bahamas,2013,female,5-14 years,0,25435
Bahamas,2013,female,55-74 years,0,28689
Bahamas,2013,female,75+ years,0,6828
Bahamas,2013,male,15-24 years,0,32971
Bahamas,2013,male,25-34 years,0,30545
Bahamas,2013,male,35-54 years,2,51912
Bahamas,2013,male,5-14 years,0,26496
Bahamas,2013,male,55-74 years,2,24298
Bahamas,2013,male,75+ years,0,3854
Bahrain,1985,female,15-24 years,0,37800
Bahrain,1985,female,25-34 years,0,27600
Bahrain,1985,female,35-54 years,1,26900
Bahrain,1985,female,5-14 years,0,41400
Bahrain,1985,female,55-74 years,0,8700
Bahrain,1985,female,75+ years,0,1500
Bahrain,1985,male,15-24 years,0,49700
Bahrain,1985,male,25-34 years,7,67600
Bahrain,1985,male,35-54 years,3,49700
Bahrain,1985,male,5-14 years,0,42000
Bahrain,1985,male,55-74 years,0,11600
Bahrain,1985,male,75+ years,0,1400
Bahrain,1987,female,15-24 years,1,38600
Bahrain,1987,female,25-34 years,1,27500
Bahrain,1987,female,35-54 years,0,27300
Bahrain,1987,female,5-14 years,0,42500
Bahrain,1987,female,55-74 years,0,8900
Bahrain,1987,female,75+ years,0,1500
Bahrain,1987,male,15-24 years,0,49400
Bahrain,1987,male,25-34 years,3,63900
Bahrain,1987,male,35-54 years,3,47700
Bahrain,1987,male,5-14 years,0,43200
Bahrain,1987,male,55-74 years,1,11800
Bahrain,1987,male,75+ years,0,1600
Bahrain,1988,female,15-24 years,0,38300
Bahrain,1988,female,25-34 years,0,32000
Bahrain,1988,female,35-54 years,1,30900
Bahrain,1988,female,5-14 years,0,45400
Bahrain,1988,female,55-74 years,0,10300
Bahrain,1988,female,75+ years,0,1400
Bahrain,1988,male,15-24 years,1,44100
Bahrain,1988,male,25-34 years,8,61600
Bahrain,1988,male,35-54 years,4,63500
Bahrain,1988,male,5-14 years,0,46500
Bahrain,1988,male,55-74 years,0,14400
Bahrain,1988,male,75+ years,0,1300
Bahrain,1997,female,15-24 years,0,46573
Bahrain,1997,female,25-34 years,0,50841
Bahrain,1997,female,35-54 years,0,53562
Bahrain,1997,female,5-14 years,0,55390
Bahrain,1997,female,55-74 years,0,13826
Bahrain,1997,female,75+ years,0,2250
Bahrain,1997,male,15-24 years,0,54369
Bahrain,1997,male,25-34 years,0,80297
Bahrain,1997,male,35-54 years,0,96825
Bahrain,1997,male,5-14 years,0,57431
Bahrain,1997,male,55-74 years,0,16035
Bahrain,1997,male,75+ years,0,2355
Bahrain,1998,female,15-24 years,0,48147
Bahrain,1998,female,25-34 years,0,51596
Bahrain,1998,female,35-54 years,0,56917
Bahrain,1998,female,5-14 years,0,56626
Bahrain,1998,female,55-74 years,0,14404
Bahrain,1998,female,75+ years,0,2312
Bahrain,1998,male,15-24 years,0,56377
Bahrain,1998,male,25-34 years,0,80849
Bahrain,1998,male,35-54 years,0,101013
Bahrain,1998,male,5-14 years,0,58935
Bahrain,1998,male,55-74 years,0,16409
Bahrain,1998,male,75+ years,0,2423
Bahrain,1999,female,15-24 years,1,49631
Bahrain,1999,female,25-34 years,1,52339
Bahrain,1999,female,35-54 years,1,60568
Bahrain,1999,female,5-14 years,0,58374
Bahrain,1999,female,55-74 years,0,15017
Bahrain,1999,female,75+ years,0,2339
Bahrain,1999,male,15-24 years,2,57914
Bahrain,1999,male,25-34 years,8,82791
Bahrain,1999,male,35-54 years,4,105903
Bahrain,1999,male,5-14 years,0,61554
Bahrain,1999,male,55-74 years,0,16810
Bahrain,1999,male,75+ years,0,2522
Bahrain,2000,female,15-24 years,0,50968
Bahrain,2000,female,25-34 years,1,53263
Bahrain,2000,female,35-54 years,0,64617
Bahrain,2000,female,5-14 years,0,60791
Bahrain,2000,female,55-74 years,0,15556
Bahrain,2000,female,75+ years,0,2394
Bahrain,2000,male,15-24 years,2,59208
Bahrain,2000,male,25-34 years,16,86231
Bahrain,2000,male,35-54 years,10,112060
Bahrain,2000,male,5-14 years,0,65512
Bahrain,2000,male,55-74 years,0,17346
Bahrain,2000,male,75+ years,0,2648
Bahrain,2001,female,15-24 years,1,54497
Bahrain,2001,female,25-34 years,1,55961
Bahrain,2001,female,35-54 years,1,67856
Bahrain,2001,female,5-14 years,0,62316
Bahrain,2001,female,55-74 years,0,15791
Bahrain,2001,female,75+ years,0,2544
Bahrain,2001,male,15-24 years,2,68309
Bahrain,2001,male,25-34 years,8,90920
Bahrain,2001,male,35-54 years,8,118151
Bahrain,2001,male,5-14 years,1,67127
Bahrain,2001,male,55-74 years,1,17917
Bahrain,2001,male,75+ years,0,2694
Bahrain,2002,female,15-24 years,2,57599
Bahrain,2002,female,25-34 years,1,59350
Bahrain,2002,female,35-54 years,4,71376
Bahrain,2002,female,5-14 years,0,63714
Bahrain,2002,female,55-74 years,0,16006
Bahrain,2002,female,75+ years,0,2738
Bahrain,2002,male,15-24 years,2,76442
Bahrain,2002,male,25-34 years,7,97288
Bahrain,2002,male,35-54 years,9,126500
Bahrain,2002,male,5-14 years,0,68596
Bahrain,2002,male,55-74 years,0,18646
Bahrain,2002,male,75+ years,0,2755
Bahrain,2003,female,15-24 years,0,60298
Bahrain,2003,female,25-34 years,5,63380
Bahrain,2003,female,35-54 years,0,75430
Bahrain,2003,female,5-14 years,0,65298
Bahrain,2003,female,55-74 years,0,16343
Bahrain,2003,female,75+ years,0,2946
Bahrain,2003,male,15-24 years,3,83143
Bahrain,2003,male,25-34 years,9,105799
Bahrain,2003,male,35-54 years,17,137287
Bahrain,2003,male,5-14 years,0,70584
Bahrain,2003,male,55-74 years,0,19574
Bahrain,2003,male,75+ years,0,2831
Bahrain,2004,female,15-24 years,1,62699
Bahrain,2004,female,25-34 years,3,68052
Bahrain,2004,female,35-54 years,3,80288
Bahrain,2004,female,5-14 years,0,67313
Bahrain,2004,female,55-74 years,0,16975
Bahrain,2004,female,75+ years,0,3126
Bahrain,2004,male,15-24 years,2,88431
Bahrain,2004,male,25-34 years,19,116777
Bahrain,2004,male,35-54 years,10,150835
Bahrain,2004,male,5-14 years,0,73422
Bahrain,2004,male,55-74 years,4,20717
Bahrain,2004,male,75+ years,0,2924
Bahrain,2005,female,15-24 years,2,64792
Bahrain,2005,female,25-34 years,3,73758
Bahrain,2005,female,35-54 years,2,92102
Bahrain,2005,female,5-14 years,0,66362
Bahrain,2005,female,55-74 years,0,19983
Bahrain,2005,female,75+ years,0,4389
Bahrain,2005,male,15-24 years,4,79928
Bahrain,2005,male,25-34 years,15,142375
Bahrain,2005,male,35-54 years,14,174785
Bahrain,2005,male,5-14 years,0,69742
Bahrain,2005,male,55-74 years,2,27261
Bahrain,2005,male,75+ years,0,4063
Bahrain,2006,female,15-24 years,3,69020
Bahrain,2006,female,25-34 years,5,80271
Bahrain,2006,female,35-54 years,3,100668
Bahrain,2006,female,5-14 years,0,68590
Bahrain,2006,female,55-74 years,0,21363
Bahrain,2006,female,75+ years,0,4915
Bahrain,2006,male,15-24 years,1,86090
Bahrain,2006,male,25-34 years,12,158656
Bahrain,2006,male,35-54 years,3,192597
Bahrain,2006,male,5-14 years,0,71974
Bahrain,2006,male,55-74 years,1,29960
Bahrain,2006,male,75+ years,0,4439
Bahrain,2007,female,15-24 years,1,73617
Bahrain,2007,female,25-34 years,3,87472
Bahrain,2007,female,35-54 years,2,110173
Bahrain,2007,female,5-14 years,0,70861
Bahrain,2007,female,55-74 years,0,22872
Bahrain,2007,female,75+ years,0,5497
Bahrain,2007,male,15-24 years,5,92875
Bahrain,2007,male,25-34 years,14,176938
Bahrain,2007,male,35-54 years,13,212426
Bahrain,2007,male,5-14 years,0,74222
Bahrain,2007,male,55-74 years,2,32965
Bahrain,2007,male,75+ years,0,4852
Bahrain,2008,female,15-24 years,3,76246
Bahrain,2008,female,25-34 years,2,93449
Bahrain,2008,female,35-54 years,3,115468
Bahrain,2008,female,5-14 years,0,72955
Bahrain,2008,female,55-74 years,0,24495
Bahrain,2008,female,75+ years,0,5191
Bahrain,2008,male,15-24 years,0,96458
Bahrain,2008,male,25-34 years,21,196832
Bahrain,2008,male,35-54 years,13,225866
Bahrain,2008,male,5-14 years,0,76617
Bahrain,2008,male,55-74 years,1,35879
Bahrain,2008,male,75+ years,0,4654
Bahrain,2009,female,15-24 years,0,80832
Bahrain,2009,female,25-34 years,4,99580
Bahrain,2009,female,35-54 years,2,118835
Bahrain,2009,female,5-14 years,0,75122
Bahrain,2009,female,55-74 years,0,25915
Bahrain,2009,female,75+ years,0,4103
Bahrain,2009,male,15-24 years,4,102256
Bahrain,2009,male,25-34 years,9,222448
Bahrain,2009,male,35-54 years,14,242558
Bahrain,2009,male,5-14 years,2,79180
Bahrain,2009,male,55-74 years,1,38002
Bahrain,2009,male,75+ years,0,4091
Bahrain,2010,female,15-24 years,1,80571
Bahrain,2010,female,25-34 years,1,104368
Bahrain,2010,female,35-54 years,2,125709
Bahrain,2010,female,5-14 years,0,77140
Bahrain,2010,female,55-74 years,0,27834
Bahrain,2010,female,75+ years,0,4625
Bahrain,2010,male,15-24 years,0,103388
Bahrain,2010,male,25-34 years,6,235591
Bahrain,2010,male,35-54 years,8,252232
Bahrain,2010,male,5-14 years,0,81414
Bahrain,2010,male,55-74 years,1,41999
Bahrain,2010,male,75+ years,0,4289
Bahrain,2011,female,15-24 years,1,75788
Bahrain,2011,female,25-34 years,2,98138
Bahrain,2011,female,35-54 years,2,123582
Bahrain,2011,female,5-14 years,1,77270
Bahrain,2011,female,55-74 years,0,29140
Bahrain,2011,female,75+ years,0,4742
Bahrain,2011,male,15-24 years,3,101695
Bahrain,2011,male,25-34 years,4,220691
Bahrain,2011,male,35-54 years,4,242955
Bahrain,2011,male,5-14 years,0,81209
Bahrain,2011,male,55-74 years,1,43883
Bahrain,2011,male,75+ years,0,4369
Bahrain,2012,female,15-24 years,0,81091
Bahrain,2012,female,25-34 years,1,110796
Bahrain,2012,female,35-54 years,0,135976
Bahrain,2012,female,5-14 years,0,81275
Bahrain,2012,female,55-74 years,0,31641
Bahrain,2012,female,75+ years,0,4548
Bahrain,2012,male,15-24 years,1,111603
Bahrain,2012,male,25-34 years,11,237133
Bahrain,2012,male,35-54 years,6,268027
Bahrain,2012,male,5-14 years,0,85538
Bahrain,2012,male,55-74 years,0,50001
Bahrain,2012,male,75+ years,0,4149
Bahrain,2013,female,15-24 years,0,80476
Bahrain,2013,female,25-34 years,0,112513
Bahrain,2013,female,35-54 years,0,139352
Bahrain,2013,female,5-14 years,0,82726
Bahrain,2013,female,55-74 years,0,33780
Bahrain,2013,female,75+ years,0,4859
Bahrain,2013,male,15-24 years,1,110064
Bahrain,2013,male,25-34 years,2,237632
Bahrain,2013,male,35-54 years,2,269162
Bahrain,2013,male,5-14 years,0,86269
Bahrain,2013,male,55-74 years,0,53308
Bahrain,2013,male,75+ years,0,4351
Bahrain,2014,female,15-24 years,0,78926
Bahrain,2014,female,25-34 years,1,110838
Bahrain,2014,female,35-54 years,0,139103
Bahrain,2014,female,5-14 years,0,82452
Bahrain,2014,female,55-74 years,0,41406
Bahrain,2014,female,75+ years,0,6154
Bahrain,2014,male,15-24 years,4,100635
Bahrain,2014,male,25-34 years,3,237952
Bahrain,2014,male,35-54 years,1,258922
Bahrain,2014,male,5-14 years,0,86539
Bahrain,2014,male,55-74 years,0,64351
Bahrain,2014,male,75+ years,0,6688
Barbados,1979,female,15-24 years,0,28700
Barbados,1979,female,25-34 years,0,18500
Barbados,1979,female,35-54 years,0,21600
Barbados,1979,female,5-14 years,0,25700
Barbados,1979,female,55-74 years,0,19600
Barbados,1979,female,75+ years,0,5700
Barbados,1979,male,15-24 years,0,29300
Barbados,1979,male,25-34 years,1,19500
Barbados,1979,male,35-54 years,1,17000
Barbados,1979,male,5-14 years,0,26300
Barbados,1979,male,55-74 years,0,14800
Barbados,1979,male,75+ years,0,2600
Barbados,1980,female,15-24 years,0,27700
Barbados,1980,female,25-34 years,0,18200
Barbados,1980,female,35-54 years,2,20500
Barbados,1980,female,5-14 years,0,24200
Barbados,1980,female,55-74 years,0,19400
Barbados,1980,female,75+ years,0,5000
Barbados,1980,male,15-24 years,1,30600
Barbados,1980,male,25-34 years,0,20800
Barbados,1980,male,35-54 years,0,17800
Barbados,1980,male,5-14 years,0,26700
Barbados,1980,male,55-74 years,0,14900
Barbados,1980,male,75+ years,0,2900
Barbados,1981,female,15-24 years,0,27800
Barbados,1981,female,25-34 years,0,18200
Barbados,1981,female,35-54 years,0,20900
Barbados,1981,female,5-14 years,0,24200
Barbados,1981,female,55-74 years,0,19700
Barbados,1981,female,75+ years,0,5000
Barbados,1981,male,15-24 years,1,30800
Barbados,1981,male,25-34 years,4,20800
Barbados,1981,male,35-54 years,1,17600
Barbados,1981,male,5-14 years,1,26800
Barbados,1981,male,55-74 years,0,14800
Barbados,1981,male,75+ years,0,2900
Barbados,1982,female,15-24 years,0,27000
Barbados,1982,female,25-34 years,0,19100
Barbados,1982,female,35-54 years,0,22100
Barbados,1982,female,5-14 years,0,25900
Barbados,1982,female,55-74 years,0,19300
Barbados,1982,female,75+ years,0,6400
Barbados,1982,male,15-24 years,0,26900
Barbados,1982,male,25-34 years,2,18300
Barbados,1982,male,35-54 years,0,18000
Barbados,1982,male,5-14 years,0,26400
Barbados,1982,male,55-74 years,0,16000
Barbados,1982,male,75+ years,0,3100
Barbados,1983,female,15-24 years,0,27400
Barbados,1983,female,25-34 years,0,19300
Barbados,1983,female,35-54 years,0,22200
Barbados,1983,female,5-14 years,0,26200
Barbados,1983,female,55-74 years,0,19300
Barbados,1983,female,75+ years,0,6400
Barbados,1983,male,15-24 years,1,27500
Barbados,1983,male,25-34 years,3,18600
Barbados,1983,male,35-54 years,3,18100
Barbados,1983,male,5-14 years,0,26800
Barbados,1983,male,55-74 years,2,15100
Barbados,1983,male,75+ years,0,3300
Barbados,1984,female,15-24 years,1,25600
Barbados,1984,female,25-34 years,1,22500
Barbados,1984,female,35-54 years,0,23500
Barbados,1984,female,5-14 years,0,23300
Barbados,1984,female,55-74 years,0,19000
Barbados,1984,female,75+ years,0,7300
Barbados,1984,male,15-24 years,1,25900
Barbados,1984,male,25-34 years,1,21500
Barbados,1984,male,35-54 years,0,20200
Barbados,1984,male,5-14 years,0,23800
Barbados,1984,male,55-74 years,1,13800
Barbados,1984,male,75+ years,0,4500
Barbados,1985,female,15-24 years,0,26000
Barbados,1985,female,25-34 years,2,22000
Barbados,1985,female,35-54 years,0,24000
Barbados,1985,female,5-14 years,0,24000
Barbados,1985,female,55-74 years,0,19000
Barbados,1985,female,75+ years,0,7000
Barbados,1985,male,15-24 years,0,26000
Barbados,1985,male,25-34 years,1,22000
Barbados,1985,male,35-54 years,0,20000
Barbados,1985,male,5-14 years,0,24000
Barbados,1985,male,55-74 years,3,13000
Barbados,1985,male,75+ years,1,4000
Barbados,1986,female,15-24 years,0,26200
Barbados,1986,female,25-34 years,1,22000
Barbados,1986,female,35-54 years,0,24000
Barbados,1986,female,5-14 years,0,24100
Barbados,1986,female,55-74 years,0,19000
Barbados,1986,female,75+ years,0,7000
Barbados,1986,male,15-24 years,2,26200
Barbados,1986,male,25-34 years,1,22000
Barbados,1986,male,35-54 years,4,20000
Barbados,1986,male,5-14 years,0,24100
Barbados,1986,male,55-74 years,0,13000
Barbados,1986,male,75+ years,0,4000
Barbados,1987,female,15-24 years,0,26400
Barbados,1987,female,25-34 years,0,22200
Barbados,1987,female,35-54 years,2,24400
Barbados,1987,female,5-14 years,0,24300
Barbados,1987,female,55-74 years,0,19300
Barbados,1987,female,75+ years,0,7000
Barbados,1987,male,15-24 years,0,26400
Barbados,1987,male,25-34 years,1,22200
Barbados,1987,male,35-54 years,1,20200
Barbados,1987,male,5-14 years,1,24300
Barbados,1987,male,55-74 years,1,13000
Barbados,1987,male,75+ years,0,4000
Barbados,1988,female,15-24 years,0,26400
Barbados,1988,female,25-34 years,0,22400
Barbados,1988,female,35-54 years,0,24400
Barbados,1988,female,5-14 years,0,24400
Barbados,1988,female,55-74 years,1,19400
Barbados,1988,female,75+ years,0,7100
Barbados,1988,male,15-24 years,2,26400
Barbados,1988,male,25-34 years,5,22400
Barbados,1988,male,35-54 years,3,20400
Barbados,1988,male,5-14 years,0,24400
Barbados,1988,male,55-74 years,1,13100
Barbados,1988,male,75+ years,0,4000
Barbados,1989,female,15-24 years,2,24000
Barbados,1989,female,25-34 years,2,23000
Barbados,1989,female,35-54 years,0,26000
Barbados,1989,female,5-14 years,0,22000
Barbados,1989,female,55-74 years,0,20000
Barbados,1989,female,75+ years,0,8000
Barbados,1989,male,15-24 years,3,25000
Barbados,1989,male,25-34 years,1,24000
Barbados,1989,male,35-54 years,6,23000
Barbados,1989,male,5-14 years,0,22000
Barbados,1989,male,55-74 years,2,14000
Barbados,1989,male,75+ years,0,5000
Barbados,1990,female,15-24 years,0,24000
Barbados,1990,female,25-34 years,0,23000
Barbados,1990,female,35-54 years,2,26000
Barbados,1990,female,5-14 years,0,22000
Barbados,1990,female,55-74 years,1,20000
Barbados,1990,female,75+ years,0,9000
Barbados,1990,male,15-24 years,1,25000
Barbados,1990,male,25-34 years,2,24000
Barbados,1990,male,35-54 years,5,24000
Barbados,1990,male,5-14 years,0,22000
Barbados,1990,male,55-74 years,2,13000
Barbados,1990,male,75+ years,3,5000
Barbados,1991,female,15-24 years,0,24000
Barbados,1991,female,25-34 years,1,23000
Barbados,1991,female,35-54 years,0,28000
Barbados,1991,female,5-14 years,0,20000
Barbados,1991,female,55-74 years,3,20000
Barbados,1991,female,75+ years,0,9000
Barbados,1991,male,15-24 years,3,24000
Barbados,1991,male,25-34 years,4,23000
Barbados,1991,male,35-54 years,5,25000
Barbados,1991,male,5-14 years,0,22000
Barbados,1991,male,55-74 years,1,13000
Barbados,1991,male,75+ years,0,6000
Barbados,1992,female,15-24 years,0,24000
Barbados,1992,female,25-34 years,1,24000
Barbados,1992,female,35-54 years,1,29000
Barbados,1992,female,5-14 years,0,20000
Barbados,1992,female,55-74 years,1,20000
Barbados,1992,female,75+ years,0,9000
Barbados,1992,male,15-24 years,0,24000
Barbados,1992,male,25-34 years,4,23000
Barbados,1992,male,35-54 years,5,26000
Barbados,1992,male,5-14 years,0,21000
Barbados,1992,male,55-74 years,2,14000
Barbados,1992,male,75+ years,0,6000
Barbados,1993,female,15-24 years,0,22900
Barbados,1993,female,25-34 years,0,23100
Barbados,1993,female,35-54 years,0,29600
Barbados,1993,female,5-14 years,0,20700
Barbados,1993,female,55-74 years,1,18900
Barbados,1993,female,75+ years,0,9600
Barbados,1993,male,15-24 years,5,23400
Barbados,1993,male,25-34 years,3,23900
Barbados,1993,male,35-54 years,3,27400
Barbados,1993,male,5-14 years,0,21100
Barbados,1993,male,55-74 years,3,13700
Barbados,1993,male,75+ years,1,5300
Barbados,1994,female,15-24 years,0,22500
Barbados,1994,female,25-34 years,1,22900
Barbados,1994,female,35-54 years,1,30700
